date,open,high,low,close,volume,Sentiment
1/1/2019,297.5,300.7,293.85,299.6,11837127,0
1/2/2019,299.1,302.5,293.1,293.9,25559853,-1
1/3/2019,295,295.55,290.1,291.1,17548347,0
1/4/2019,292.1,299,291.5,297.65,19514041,0
1/7/2019,301.05,301.5,295.2,296.3,14579399,0
1/8/2019,295.8,306,294.75,305.3,22949961,0
1/9/2019,306,307.1,300.75,305.3,21109911,1
1/10/2019,305.1,307.5,303.5,305.55,16295468,0
1/11/2019,305.4,306.2,300.95,302.75,12702551,0
1/14/2019,301,303.6,299.55,300.4,10372933,0
1/15/2019,302,303.6,301.1,301.65,9444374,0
1/16/2019,303,306.65,302.1,303.15,12111480,0
1/17/2019,303.9,304.35,295.6,297.4,15974634,1
1/18/2019,298.75,299.85,294.25,294.95,9082501,1
1/21/2019,295.9,296.75,291.45,292.45,10188647,0
1/22/2019,293,293,288.2,290.25,11297989,0
1/23/2019,290.45,292.95,285.5,286.65,10304608,0
1/24/2019,286.65,289.9,285.5,288.05,11532528,0
1/25/2019,289.6,291,283.2,285.4,11121223,0
1/28/2019,285.65,286.6,277.3,281.6,18905470,1
1/29/2019,281,286,276.55,280.6,17435611,0
1/30/2019,281.2,289.4,280.25,287.45,18908654,0
1/31/2019,290,294.8,288,293.65,25546487,0
2/1/2019,296.9,302.7,282,284.4,60015958,1
2/4/2019,282.4,285.2,277.85,283.95,20642919,0
2/5/2019,284.2,287,283,284.65,13291133,0
2/6/2019,285.85,289.75,283.5,289.05,12149759,0
2/7/2019,289.4,294,286.6,287.4,19733315,0
2/8/2019,285.6,288,282.2,286,19781908,0
2/11/2019,285.95,285.95,280,280.5,15420017,0
2/12/2019,280.65,282.2,274.65,275.4,15326106,0
2/13/2019,276.5,276.7,266.7,268.2,18662893,0
2/14/2019,268,268.35,263.65,267.1,26372671,0
2/15/2019,268.85,268.85,261.3,262.95,23366091,0
2/18/2019,264.4,265.5,258.8,259.95,14781744,-1
2/19/2019,260.9,267.5,260.3,262.9,19064306,0
2/20/2019,264.5,268.3,264.3,267.7,15514595,1
2/21/2019,270.3,271,267.3,268,13760702,0
2/22/2019,267.9,271.9,267.6,270.95,12536918,0
2/25/2019,271.3,271.4,267.9,270.15,20793897,0
2/26/2019,266.8,268.2,263.25,266.35,15274303,1
2/27/2019,268,272.7,266.55,267.65,20571652,0
2/28/2019,267.7,270.8,267.65,269.05,31636468,0
3/1/2019,270.55,274.6,270.1,272.95,20024726,0
3/5/2019,271.7,277.85,271.2,276.45,21533972,1
3/6/2019,277.3,282.55,276.45,278.1,22161376,1
3/7/2019,279.45,282.5,277.65,281.75,14899105,0
3/8/2019,281.85,284.25,279.6,281.2,19943319,0
3/11/2019,285.3,289,283.5,287.35,22931245,1
3/12/2019,289.2,289.9,285.75,286.9,20828136,0
3/13/2019,288.1,294.4,284.7,293.15,23725641,0
3/14/2019,294.5,294.7,290.75,291.9,16164017,0
3/15/2019,292.6,301.3,292.5,298.4,37928480,1
3/18/2019,298.9,300.9,294.65,298.95,23782967,1
3/19/2019,300.15,306.6,299.15,303.05,27218691,1
3/20/2019,302.8,304.65,300.05,303.8,18820555,1
3/22/2019,304.3,306.4,296.95,298.05,17865957,1
3/25/2019,294,295.45,292.2,294,16895511,0
3/26/2019,294.75,305,294.75,303.5,18303791,0
3/27/2019,305.25,310.85,304.35,308.8,35956450,0
3/28/2019,310.1,339.65,309.05,319,63244736,0
3/29/2019,321.1,323,316.25,320.75,30394717,1
4/1/2019,321.8,327.65,321.05,322.75,22372357,0
4/2/2019,323.65,331,322.1,329,27897583,0
4/3/2019,331,332.45,319.5,320.5,30552104,-1
4/4/2019,321.5,325.75,318.3,321.8,27832294,0
4/5/2019,323.7,323.7,315,317.05,23117232,0
4/8/2019,318.25,319.25,311.1,312.8,17394139,0
4/9/2019,313.95,315.7,308.1,314.75,25556039,1
4/10/2019,314.85,317.05,310,310.9,19237974,1
4/11/2019,311,315.4,308.7,314.9,14897935,0
4/12/2019,314.6,316.4,311.2,315.25,14751964,-1
4/15/2019,315.5,318.7,313.75,315.6,13864791,0
4/16/2019,316.6,319.4,314.7,315.75,14940726,0
4/18/2019,315.8,315.8,308.05,310.8,15691168,0
4/22/2019,308.8,312.3,306.35,310.05,15665440,0
4/23/2019,310.05,313.75,304.6,305.25,17324274,0
4/24/2019,305.85,311.95,303.6,310.75,15228591,0
4/25/2019,311,312,305.4,306.2,30842477,0
4/26/2019,306.9,313.5,306.6,312.5,14987906,0
4/30/2019,312,312,305,309.95,18178758,0
5/2/2019,308.05,311.4,305.65,308.15,16640100,0
5/3/2019,309,311.8,308.8,310,12452689,0
5/6/2019,306.8,310.3,305.9,308.75,10639216,0
5/7/2019,310.7,313.4,303.75,305.45,15219845,0
5/8/2019,303.95,305.3,296.75,298.25,22103678,0
5/9/2019,297.6,301,296.1,299.3,12654440,0
5/10/2019,301.8,310.75,292.45,308.05,60739833,0
5/13/2019,310,314.2,305.3,306.9,40101505,0
5/14/2019,307.85,316.75,305.1,314.65,30521436,0
5/15/2019,316.2,317.9,311,312.1,27932459,1
5/16/2019,312.5,317.1,309.55,315.75,18147559,0
5/17/2019,315.65,321.95,313.45,319.25,25838962,0
5/20/2019,332,345.8,331,344.7,53207071,0
5/21/2019,345.9,347.55,336.25,337.55,33457162,0
5/22/2019,338.9,342.6,333.55,341.1,32002499,0
5/23/2019,353,364,339.2,342.2,74413322,0
5/24/2019,344.95,357,343.5,355.35,35703403,0
5/27/2019,355.05,362.5,354,361.7,31374994,0
5/28/2019,360.95,361.7,356.65,360.05,23501608,0
5/29/2019,358,359,347.15,348.65,28370210,1
5/30/2019,349.75,355,347.5,353.55,25712604,0
5/31/2019,354.35,357.9,344.65,352.5,32588069,0
6/3/2019,352.35,356.45,349.65,355.45,18380919,1
6/4/2019,354,357.2,351.4,352.4,18130636,1
6/6/2019,349,349.6,335.9,336.9,41941144,0
6/7/2019,337,342.75,336,342.05,29739710,1
6/10/2019,346,347.3,340.15,344.3,20500542,0
6/11/2019,345.05,348.3,342.85,347.1,16281297,0
6/12/2019,346.95,346.95,342.3,344,11564970,1
6/13/2019,343,347.45,339.8,346.5,15509948,0
6/14/2019,345.5,346.35,342.55,343.8,10347594,0
6/17/2019,343.75,343.75,336.95,337.85,13779496,0
6/18/2019,335.5,344,333.8,340.05,21957480,0
6/19/2019,343.1,345.2,335.5,338.85,16416903,-1
6/20/2019,341,346.25,335.6,345.15,20626861,0
6/21/2019,344.8,350.7,343.15,349.4,24749090,1
